1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
2,7,1
2,8,7
2,3,3
2,9,4
2,10,5
2,11,6
3,12,8
3,13,1
3,14,2
3,15,9
3,16,10
3,17,11
3,8,7
3,3,3
3,18,12
3,19,4
3,20,5
3,21,6
4,22,8
4,23,2
4,24,9
4,17,11
4,25,7
4,26,13
4,18,12
4,27,4
5,22,8
5,28,2
5,24,9
5,17,11
5,25,7
5,26,13
5,18,12
5,27,4
6,22,8
6,29,2
6,24,9
6,17,11
6,25,7
6,26,13
6,18,12
6,27,4
7,22,8
7,30,2
7,24,9
7,17,11
7,25,7
7,26,13
7,18,12
7,27,4
8,22,8
8,31,2
8,24,9
8,17,11
8,25,7
8,26,13
8,18,12
8,27,4
9,32,8
9,33,2
9,34,11
9,35,13
9,18,12
10,32,8
10,36,2
10,34,11
10,35,13
10,18,12
11,32,8
11,37,2
11,34,11
11,35,13
11,18,12
12,32,8
12,38,2
12,34,11
12,35,13
12,18,12
13,32,8
13,39,2
13,34,11
13,35,13
13,18,12
14,40,8
14,41,2
14,24,9
14,17,11
14,25,7
14,26,13
14,18,12
14,42,14
15,40,8
15,43,2
15,24,9
15,17,11
15,25,7
15,26,13
15,18,12
15,42,14
16,40,8
16,44,2
16,24,9
16,17,11
16,25,7
16,26,13
16,18,12
16,42,14
17,45,8
17,46,15
17,47,16
17,48,1
17,24,9
17,25,7
17,49,12
17,50,4
17,51,5
17,52,6
17,53,14
18,45,8
18,46,15
18,47,16
18,48,1
18,24,9
18,25,7
18,49,12
18,50,4
18,51,5
18,52,6
18,53,14
19,45,8
19,46,15
19,47,16
19,48,1
19,24,9
19,25,7
19,49,12
19,50,4
19,51,5
19,52,6
19,53,14
20,45,8
20,46,15
20,47,16
20,48,1
20,24,9
20,25,7
20,49,12
20,50,4
20,51,5
20,52,6
20,53,14
21,45,8
21,46,15
21,47,16
21,48,1
21,24,9
21,25,7
21,49,12
21,50,4
21,51,5
21,52,6
21,53,14
23,54,8
23,55,15
23,47,16
23,49,12
23,56,4
23,51,5
23,52,6
22,54,8
22,55,15
22,47,16
22,49,12
22,56,4
22,51,5
22,52,6
24,54,8
24,55,15
24,47,16
24,49,12
24,56,4
24,51,5
24,52,6
25,54,8
25,55,15
25,47,16
25,49,12
25,56,4
25,51,5
25,52,6
26,54,8
26,55,15
26,47,16
26,49,12
26,56,4
26,51,5
26,52,6
27,57,8
27,58,15
27,59,16
27,48,1
27,24,9
27,25,7
27,49,12
27,60,4
27,51,5
27,52,6
27,53,14
28,57,8
28,58,15
28,59,16
28,48,1
28,24,9
28,25,7
28,49,12
28,60,4
28,51,5
28,52,6
28,53,14
29,57,8
29,58,15
29,59,16
29,48,1
29,24,9
29,25,7
29,49,12
29,60,4
29,51,5
29,52,6
29,53,14
30,57,8
30,58,15
30,59,16
30,48,1
30,24,9
30,25,7
30,49,12
30,60,4
30,51,5
30,52,6
30,53,14
31,57,8
31,58,15
31,59,16
31,48,1
31,24,9
31,25,7
31,49,12
31,60,4
31,51,5
31,52,6
31,53,14
32,61,15
32,47,16
32,48,1
32,24,9
32,25,7
32,49,12
32,50,4
32,51,5
32,52,6
32,53,14
33,61,15
33,47,16
33,48,1
33,24,9
33,25,7
33,49,12
33,50,4
33,51,5
33,52,6
33,53,14
34,61,15
34,47,16
34,48,1
34,24,9
34,25,7
34,49,12
34,50,4
34,51,5
34,52,6
34,53,14
35,61,15
35,47,16
35,48,1
35,24,9
35,25,7
35,49,12
35,50,4
35,51,5
35,52,6
35,53,14
36,61,15
36,47,16
36,48,1
36,24,9
36,25,7
36,49,12
36,50,4
36,51,5
36,52,6
36,53,14
37,62,8
37,48,1
37,63,2
37,25,7
37,35,13
37,18,12
37,50,4
37,64,5
37,65,6
38,62,8
38,48,1
38,66,2
38,25,7
38,35,13
38,18,12
38,50,4
38,64,5
38,65,6
39,62,8
39,48,1
39,67,2
39,25,7
39,35,13
39,18,12
39,50,4
39,64,5
39,65,6
40,62,8
40,48,1
40,68,2
40,25,7
40,35,13
40,18,12
40,50,4
40,64,5
40,65,6
41,62,8
41,48,1
41,69,2
41,25,7
41,35,13
41,18,12
41,50,4
41,64,5
41,65,6
42,22,8
42,70,15
42,48,1
42,34,11
42,71,17
42,3,3
42,18,12
42,27,4
42,72,5
42,73,6
42,74,14
43,22,8
43,70,15
43,48,1
43,34,11
43,71,17
43,3,3
43,18,12
43,27,4
43,72,5
43,73,6
43,74,14
44,22,8
44,70,15
44,48,1
44,34,11
44,71,17
44,3,3
44,18,12
44,27,4
44,72,5
44,73,6
44,74,14
45,22,8
45,70,15
45,48,1
45,34,11
45,71,17
45,3,3
45,18,12
45,27,4
45,72,5
45,73,6
45,74,14
47,75,8
47,48,1
47,76,2
47,24,9
47,25,7
47,35,13
47,18,12
47,60,4
47,77,5
47,78,6
46,22,8
46,70,15
46,48,1
46,34,11
46,71,17
46,3,3
46,18,12
46,27,4
46,72,5
46,73,6
46,74,14
48,75,8
48,48,1
48,79,2
48,25,7
48,35,13
48,18,12
48,60,4
48,77,5
48,78,6
49,75,8
49,48,1
49,80,2
49,25,7
49,35,13
49,18,12
49,60,4
49,77,5
49,78,6
50,75,8
50,48,1
50,81,2
50,25,7
50,35,13
50,18,12
50,60,4
50,77,5
50,78,6
51,75,8
51,48,1
51,82,2
51,24,9
51,25,7
51,35,13
51,18,12
51,60,4
51,77,5
51,78,6
52,83,8
52,48,1
52,84,2
52,15,9
52,25,7
52,35,13
52,18,12
52,85,4
52,64,5
52,86,6
53,83,8
53,48,1
53,87,2
53,15,9
53,25,7
53,35,13
53,18,12
53,85,4
53,64,5
53,86,6
54,83,8
54,48,1
54,88,2
54,15,9
54,25,7
54,35,13
54,18,12
54,85,4
54,64,5
54,86,6
55,83,8
55,48,1
55,89,2
55,15,9
55,25,7
55,35,13
55,18,12
55,85,4
55,64,5
55,86,6
56,83,8
56,48,1
56,90,2
56,15,9
56,25,7
56,35,13
56,18,12
56,85,4
56,64,5
56,86,6
57,91,8
57,48,1
57,92,2
57,15,9
57,25,7
57,35,13
57,18,12
57,85,4
57,64,5
57,86,6
58,91,8
58,48,1
58,93,2
58,25,7
58,35,13
58,18,12
58,85,4
58,64,5
58,86,6
59,91,8
59,48,1
59,94,2
59,25,7
59,35,13
59,18,12
59,85,4
59,64,5
59,86,6
60,91,8
60,48,1
60,95,2
60,25,7
60,35,13
60,18,12
60,85,4
60,64,5
60,86,6
61,91,8
61,48,1
61,96,2
61,25,7
61,35,13
61,18,12
61,85,4
61,64,5
61,86,6
62,97,15
62,98,1
62,99,2
62,15,9
62,34,11
62,100,18
62,8,7
62,101,12
62,102,4
62,103,5
62,104,6
63,97,15
63,98,1
63,105,2
63,15,9
63,34,11
63,106,18
63,8,7
63,101,12
63,102,4
63,103,5
63,104,6
64,97,15
64,98,1
64,107,2
64,15,9
64,34,11
64,108,18
64,8,7
64,101,12
64,102,4
64,103,5
64,104,6
65,97,15
65,98,1
65,109,2
65,15,9
65,34,11
65,110,18
65,8,7
65,101,12
65,102,4
65,103,5
65,104,6
66,97,15
66,98,1
66,111,2
66,15,9
66,34,11
66,112,18
