1,1,0,Ипе
7,1,0,Тик
13,1,0,Олива
48,1,0,"Пробковое дерево"
98,1,0,Дуб
116,1,0,Ясень
125,1,0,Клен
132,1,0,Орех
138,1,0,Мербау
144,1,0,Балау
147,1,0,Ормозия
185,1,0,"Орех американский"
349,1,0,"Клен канадский"
529,1,0,Вяз
534,1,0,Бамбук
579,1,0,Гевея
644,1,0,Акация
656,1,0,Кумару
687,1,0,Лиственница
706,1,0,Банкирай
716,1,0,"Дуб (мореный тёмный)"
758,1,0,Сосна
768,1,0,Дуссие
774,1,0,Ятоба
776,1,0,Мироксилон
809,1,0,Бук
825,1,0,Меранти
877,1,0,Че
879,1,0,Палисандр
891,1,0,"Дуб красный"
915,1,0,Кемпас
938,1,0,"Ироко (камбала)"
943,1,0,"Тигровое дерево"
946,1,0,Афрормозия
951,1,0,Сукупира
953,1,0,"Дуб американский"
964,1,0,Лапачо
966,1,0,Курупау
976,1,0,Каслин
978,1,0,Береза
1019,1,0,Ель
1023,1,0,Граб
1045,1,0,Дару
1048,1,0,Керанжи
1050,1,0,Кулим
1052,1,0,Роузвуд
1054,1,0,"Мербау (светлое)"
1058,1,0,Боссе
1061,1,0,Гарапа
1066,1,0,"Кемпас (Красный)"
1174,1,0,Вишня
1186,1,0,"Венге Африканский"
1190,1,0,"Махагон Азиатский"
1234,1,0,"Бук (дымчатый)"
1237,1,0,"Бук розовый"
1248,1,0,"Дуб (коричневый)"
1267,1,0,Манзония
1313,1,0,"Орех Европейский"
1374,1,0,Роузгам
1377,1,0,Гуатамбу
1384,1,0,"Ироко (светлое)"
1391,1,0,"Дуб натур"
1413,1,0,"Тик (индийский)"
1416,1,0,"Мербау (темное)"
1418,1,0,Венге
1421,1,0,Доксия
1427,1,0,Лаурел
1433,1,0,Хикори
1442,1,0,"Марганцовое дерево"
1451,1,0,Камбала
1466,1,0,Одум
1468,1,0,Тали
1472,1,0,Зебрано
1481,1,0,"Дуб селект"
1512,1,0,"Ясень (пестрый)"
1520,1,0,Массарандуба
1524,1,0,"Лимонное дерево"
1558,1,0,"Дуб бразильский"
1561,1,0,Окан
1576,1,0,Падук
1595,1,0,"Ясень (белый)"
1597,1,0,Сапеле
1635,1,0,"Дуб (состаренный)"
1642,1,0,Бубинго-Помеле
